open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignored
2019-04-01 00:00:00,0.03448200,0.03494800,0.03060300,0.03370200,2368175.74300000,2019-04-07 23:59:59,78143.11778029,1735834,1183776.15100000,39068.53975666,0
2019-04-08 00:00:00,0.03368800,0.03525900,0.03202400,0.03256700,1629115.08700000,2019-04-14 23:59:59,54655.03624070,1126895,826331.66900000,27723.36188038,0
2019-04-15 00:00:00,0.03257100,0.03329700,0.03112600,0.03206700,1059326.15100000,2019-04-21 23:59:59,34278.25059015,812176,553461.50800000,17907.76328133,0
2019-04-22 00:00:00,0.03206700,0.03245500,0.02920600,0.02973000,1262845.21000000,2019-04-28 23:59:59,38377.33876234,956772,645642.41400000,19605.02405718,0
2019-04-29 00:00:00,0.02973100,0.03063900,0.02787900,0.02823100,1191435.46800000,2019-05-05 23:59:59,34870.67356410,872059,615343.66700000,17990.74838335,0
2019-05-06 00:00:00,0.02823300,0.03140600,0.02558000,0.02699200,1874854.12400000,2019-05-12 23:59:59,53002.46613397,1194876,926218.86000000,26217.12089089,0
2019-05-13 00:00:00,0.02699200,0.03484800,0.02464700,0.03181100,2959079.67800000,2019-05-19 23:59:59,90711.18951092,1752306,1518948.52800000,46622.93539188,0
2019-05-20 00:00:00,0.03181200,0.03276300,0.03013800,0.03068800,1687310.56300000,2019-05-26 23:59:59,53256.73734563,1166835,849341.91900000,26806.58603115,0
2019-05-27 00:00:00,0.03068800,0.03315300,0.02974200,0.03081700,1712966.81700000,2019-06-02 23:59:59,53422.63132183,1267792,858206.49300000,26771.04697316,0
2019-06-03 00:00:00,0.03081700,0.03212700,0.03000000,0.03028400,1148231.38600000,2019-06-09 23:59:59,35735.38905730,1048696,598444.53900000,18634.19106282,0
2019-06-10 00:00:00,0.03028400,0.03229500,0.02936300,0.02990100,1258533.41100000,2019-06-16 23:59:59,38753.69178396,1136840,618044.34500000,19026.71650428,0
2019-06-17 00:00:00,0.02990200,0.02997200,0.02782100,0.02828900,1798384.92300000,2019-06-23 23:59:59,52200.27438966,1349539,924928.70400000,26853.35796014,0
2019-06-24 00:00:00,0.02828600,0.02862900,0.02498100,0.02697200,2487812.84900000,2019-06-30 23:59:59,66059.29577374,1755502,1273901.44900000,33824.98827367,0
2019-07-01 00:00:00,0.02696700,0.02831900,0.02485000,0.02670600,1663990.23800000,2019-07-07 23:59:59,43961.28629427,1311107,855616.02200000,22617.61068046,0
2019-07-08 00:00:00,0.02671300,0.02693300,0.02200200,0.02219800,1695219.43800000,2019-07-14 23:59:59,40554.98034014,1353252,857414.50000000,20557.05610932,0
2019-07-15 00:00:00,0.02219600,0.02238800,0.02013800,0.02128500,1814720.86600000,2019-07-21 23:59:59,38826.51636502,1480525,924372.45000000,19761.16066615,0
2019-07-22 00:00:00,0.02129100,0.02249200,0.02081200,0.02216500,999895.16200000,2019-07-28 23:59:59,21690.34832618,1013779,476374.12400000,10339.95965199,0
2019-07-29 00:00:00,0.02217100,0.02226900,0.02011700,0.02029200,807130.35500000,2019-08-04 23:59:59,17167.84529679,883016,401292.43800000,8528.42719069,0
2019-08-05 00:00:00,0.02029400,0.02037400,0.01756700,0.01874200,1242077.29000000,2019-08-11 23:59:59,23468.64010962,1104095,643060.77600000,12146.13561739,0
2019-08-12 00:00:00,0.01874400,0.01979000,0.01761500,0.01886100,1029532.38200000,2019-08-18 23:59:59,19049.69433440,1027364,493305.64600000,9134.14060061,0
2019-08-19 00:00:00,0.01885900,0.01917800,0.01810000,0.01839800,940203.18700000,2019-08-25 23:59:59,17537.48442274,1015459,443164.09600000,8265.88890089,0
2019-08-26 00:00:00,0.01840400,0.01867800,0.01723000,0.01755800,864316.20800000,2019-09-01 23:59:59,15516.72310536,913859,437065.71500000,7863.81486292,0
2019-09-02 00:00:00,0.01755500,0.01772000,0.01615000,0.01744900,961960.31600000,2019-09-08 23:59:59,16246.37228761,882425,439593.47600000,7415.55209755,0
2019-09-09 00:00:00,0.01744700,0.01843600,0.01693600,0.01835000,883748.48400000,2019-09-15 23:59:59,15635.76252593,750981,381794.07200000,6754.53055029,0
2019-09-16 00:00:00,0.01835000,0.02222900,0.01834800,0.02106000,1583674.27600000,2019-09-22 23:59:59,32636.90383769,973970,761842.22000000,15680.14185035,0
2019-09-23 00:00:00,0.02106200,0.02160300,0.01880200,0.02104200,1685636.35400000,2019-09-29 23:59:59,34268.26695350,1116065,839039.87400000,17076.03361014,0
2019-09-30 00:00:00,0.02104200,0.02208500,0.02097800,0.02165400,972019.43300000,2019-10-06 23:59:59,20885.21645838,747947,504800.60500000,10843.28783098,0
2019-10-07 00:00:00,0.02165100,0.02303700,0.02137900,0.02187400,1204801.37300000,2019-10-13 23:59:59,26637.19280530,952772,599005.25900000,13249.09868459,0
2019-10-14 00:00:00,0.02187300,0.02252500,0.02121500,0.02130900,817783.25800000,2019-10-20 23:59:59,17897.93593910,712454,426242.21200000,9330.69513095,0
2019-10-21 00:00:00,0.02130500,0.02195800,0.01885600,0.01929200,1577751.89500000,2019-10-27 23:59:59,32624.10929661,1096902,794890.01000000,16451.18027883,0
2019-10-28 00:00:00,0.01929200,0.02054300,0.01897500,0.01973900,997524.80100000,2019-11-03 23:59:59,19764.91194348,837320,492930.05600000,9767.93749404,0
2019-11-04 00:00:00,0.01974300,0.02161800,0.01966500,0.02090500,957873.39800000,2019-11-10 23:59:59,19603.56674510,812475,488929.46800000,10009.97414307,0
2019-11-11 00:00:00,0.02090600,0.02171300,0.02089100,0.02162100,805922.86700000,2019-11-17 23:59:59,17200.44529757,727935,399972.36200000,8536.38044714,0
2019-11-18 00:00:00,0.02162100,0.02182400,0.02020000,0.02027200,1181914.11900000,2019-11-24 23:59:59,25008.37881806,1028011,591065.21800000,12516.36307368,0
2019-11-25 00:00:00,0.02027900,0.02109600,0.01976900,0.02039200,1056964.62300000,2019-12-01 23:59:59,21504.92400970,807924,524170.51300000,10668.47271151,0
2019-12-02 00:00:00,0.02039200,0.02053000,0.01950000,0.02003100,717296.67500000,2019-12-08 23:59:59,14372.48099562,620783,329429.61900000,6604.62650768,0
2019-12-09 00:00:00,0.02002600,0.02023200,0.01959800,0.02001200,605639.72100000,2019-12-15 23:59:59,12110.02423445,582233,297937.14900000,5958.98809912,0
2019-12-16 00:00:00,0.02001300,0.02008200,0.01758600,0.01761600,1044792.82600000,2019-12-22 23:59:59,19281.95107656,840705,515384.35300000,9505.22417714,0
2019-12-23 00:00:00,0.01761600,0.01833600,0.01718400,0.01818400,771119.87800000,2019-12-29 23:59:59,13522.03125393,663360,403275.74100000,7070.80606411,0
2019-12-30 00:00:00,0.01818500,0.01856500,0.01780000,0.01840000,724378.87000000,2020-01-05 23:59:59,13165.20300004,684770,366306.10600000,6657.08757502,0
2020-01-06 00:00:00,0.01840000,0.01890000,0.01695800,0.01790600,993360.54800000,2020-01-12 23:59:59,17671.40330969,952023,499235.23800000,8889.29587648,0
2020-01-13 00:00:00,0.01790400,0.02003900,0.01736400,0.01917200,1480216.18500000,2020-01-19 23:59:59,27805.64879671,1369893,738694.46300000,13887.23615808,0
2020-01-20 00:00:00,0.01917100,0.01955300,0.01883000,0.01948900,647651.33000000,2020-01-26 23:59:59,12474.59063923,733032,314017.85000000,6048.22024597,0
2020-01-27 00:00:00,0.01948900,0.02043900,0.01850500,0.02018800,932531.78500000,2020-02-02 23:59:59,18023.66633565,990582,455195.03100000,8794.56782090,0
2020-02-03 00:00:00,0.02018900,0.02315600,0.02012200,0.02251500,1419856.02800000,2020-02-09 23:59:59,30849.95546109,1286761,705200.85400000,15318.06147758,0
2020-02-10 00:00:00,0.02251300,0.02784400,0.02206300,0.02610500,2358477.49500000,2020-02-16 23:59:59,60095.37512911,1951824,1160216.54600000,29558.65875232,0
2020-02-17 00:00:00,0.02611000,0.02850000,0.02488000,0.02761900,1633819.65000000,2020-02-23 23:59:59,44157.35474297,1369378,814887.59700000,22032.84481152,0
2020-02-24 00:00:00,0.02762800,0.02779900,0.02456600,0.02551000,1539806.25500000,2020-03-01 23:59:59,40232.20799705,1072335,777707.25300000,20331.98334024,0
2020-03-02 00:00:00,0.02552000,0.02749500,0.02445800,0.02481500,1365284.53300000,2020-03-08 23:59:59,35431.97525032,883446,679638.91400000,17645.94472771,0
2020-03-09 00:00:00,0.02481800,0.02617200,0.02099500,0.02308700,3812081.86200000,2020-03-15 23:59:59,90270.71063899,1947270,1922032.77600000,45580.23774320,0
2020-03-16 00:00:00,0.02308400,0.02330000,0.02042700,0.02102600,2589560.52300000,2020-03-22 23:59:59,56855.33504765,1244383,1282358.42000000,28158.26107721,0
2020-03-23 00:00:00,0.02102900,0.02135000,0.02019100,0.02115800,1518961.08700000,2020-03-29 23:59:59,31433.07794475,774138,740141.60400000,15325.07826810,0
2020-03-30 00:00:00,0.02115800,0.02129900,0.02039000,0.02106300,1447080.41600000,2020-04-05 23:59:59,30146.16344718,605503,715910.05200000,14922.14095887,0
